document,label
i to feel sympathetic about the children of the world and the bad messages that we send to them when we live in a lawless culture full of innuendo to the contrary,love
i am feeling more productive,joy
ive not used elvive for years and i admit to feeling a bit naughty having strayed from an sls free formula,love
i suppose its only natural to squeeze every half hour out of the last five days to spend the time with family making memories and with friends promising more but it feels like someone elses life in a numb way,sadness
i forgive myself that i have accepted adn allowed myself to feel uncertain and inferior the moment someobdy is looking at me as i do physical labour,fear
i really lose a lot of my nesting homemaking instinct and desire when i am pregnant and the longer im pregnant the worse it gets though i do get about a month reprieve where i feel creative again around the six month mark and youll notice that is when i did a post for halloween,joy
i don t care what sort of bs lifestyle you think you live everyone wants to fit in and feel accepted,joy
i get the feeling people think im indecisive and childish which isnt entirely true not to the degree that i show it anyway,fear
i feel highly burdened and incapacitated by my stupid flaring legs,sadness
i then asked as i often do in these situations how i could fix this so she wouldnt feel like i hated her because of my lack of postings on her facebook page,sadness
i feel less keen about the winston churchill quote really i feel less keen about the winston churchill quote a href http www,joy
i am actually considering buying them thats why i feel so unsure hehe,fear
i feel like ive been a totally hot mess that i had second thoughts about publishing it,love
im supposed to feel compassionate towards that little girl but i feel like she never existed,love
i find it unloving and unkind to our bodies and only makes us feel like we re being punished for something,sadness
i would gladly make it on the morrow since i am not feeling well,joy
i cant help but feeling a little hesitant about my decision just because of the magnitude of the decision,fear
i couldnt help but feel a little out of place in our casual attire,joy
i feel depressed or even short tempered some days,sadness
i walk away feeling dissatisfied like i ve waited for my caffeine hit only to get a decaf,anger
i blanked a little on a lesson and she seamlessly jumped in to support me without making me feel stupid or inferring it to the kids,sadness
i express the gene of this dominant voice it feels rather wonderful as if i were really this writer this poet who was so carefree and crazy,joy
im feeling surprisingly blank about the whole thing not good not bad not happy not sad,sadness
i was actually starting to feel pretty cranky about the situation and was avoiding a lot of phone calls because i really just didnt want to talk to anyone about being late,anger
i just want him to see how it feels when he does something that i feel is obnoxious,anger
i feel paranoid when i wear makeup out,fear
i feel selfish at times for wanting an escape from my day to day as i feel like i should be thinking of the kids and taking them some where instead,anger
i think i want to go to an aa meeting just to hear the stories but it feels rude,anger
